Date,Open,High,Low,Close,Adj Close,Volume
2019-03-29,8275.000000,8275.000000,8150.000000,8250.000000,8020.000000,62200
2019-04-01,8400.000000,8500.000000,8250.000000,8275.000000,8044.303223,47200
2019-04-02,8400.000000,8550.000000,8350.000000,8350.000000,8117.212402,48500
2019-04-03,8350.000000,8350.000000,8350.000000,8350.000000,8117.212402,0
2019-04-04,8450.000000,8450.000000,8375.000000,8375.000000,8141.515137,47300
2019-04-05,8400.000000,8400.000000,8200.000000,8200.000000,7971.394043,31300
2019-04-08,8450.000000,8450.000000,8200.000000,8300.000000,8068.606445,52500
2019-04-09,8300.000000,8400.000000,8150.000000,8150.000000,7922.788086,72100
2019-04-10,8100.000000,8100.000000,7950.000000,8000.000000,7776.969727,55900
2019-04-11,8250.000000,8300.000000,7950.000000,8150.000000,7922.788086,74300
2019-04-12,8225.000000,8225.000000,8000.000000,8000.000000,7776.969727,50400
2019-04-15,8225.000000,8250.000000,8000.000000,8125.000000,7898.484863,82700
2019-04-16,8175.000000,8400.000000,8000.000000,8400.000000,8165.818359,51400
2019-04-17,8400.000000,8400.000000,8400.000000,8400.000000,8165.818359,0
2019-04-18,8600.000000,8600.000000,8050.000000,8300.000000,8068.606445,47100
2019-04-19,8300.000000,8300.000000,8300.000000,8300.000000,8068.606445,0
2019-04-22,8200.000000,8200.000000,8025.000000,8200.000000,7971.394043,40800
2019-04-23,8200.000000,8250.000000,8075.000000,8250.000000,8020.000000,62500
2019-04-24,8200.000000,8200.000000,7800.000000,8100.000000,8100.000000,99200
2019-04-25,8075.000000,8175.000000,7825.000000,8150.000000,8150.000000,76300
2019-04-26,8175.000000,8175.000000,7875.000000,8075.000000,8075.000000,37800
2019-04-29,8075.000000,8125.000000,7650.000000,8050.000000,8050.000000,93900
2019-04-30,8050.000000,8125.000000,7875.000000,8000.000000,8000.000000,37700
2019-05-01,8000.000000,8000.000000,8000.000000,8000.000000,8000.000000,0
2019-05-02,8100.000000,8100.000000,7900.000000,7975.000000,7975.000000,51900
2019-05-03,8025.000000,8100.000000,7925.000000,8050.000000,8050.000000,38100
2019-05-06,8050.000000,8050.000000,8025.000000,8025.000000,8025.000000,34500
2019-05-07,8025.000000,8050.000000,7850.000000,8025.000000,8025.000000,40800
2019-05-08,8000.000000,8050.000000,7825.000000,8000.000000,8000.000000,61100
2019-05-09,8000.000000,8000.000000,7850.000000,8000.000000,8000.000000,41300
2019-05-10,8200.000000,8200.000000,7875.000000,8000.000000,8000.000000,35500
2019-05-13,8200.000000,8200.000000,7900.000000,8000.000000,8000.000000,43500
